Order_ID,Customer_ID,Product,Category,Price,Discount,Final_Price,Quantity,Total_Sales,Returned,City,Payment_Method,Order_Date
ORD-1000,CUST-729,Backpack,Accessories,400,0.0,400.0,4,1600.0,0,Cairo,Vodafone Cash,2023-11-10
ORD-1001,CUST-9,Camera,Electronics,12000,0.0,12000.0,1,12000.0,0,Tanta,Vodafone Cash,2023-06-20
ORD-1002,CUST-21,Watch,Fashion,1200,0.1,1080.0,7,7560.0,0,Aswan,Vodafone Cash,2023-12-05
ORD-1003,CUST-721,Watch,Fashion,1200,0.0,1200.0,4,4800.0,0,Alexandria,Vodafone Cash,2023-07-08
ORD-1004,CUST-602,Phone,Electronics,8000,0.0,8000.0,2,16000.0,0,Tanta,Cash,2023-10-24
ORD-1005,CUST-794,Shoes,Fashion,700,0.0,700.0,6,4200.0,0,Alexandria,Vodafone Cash,2023-12-17
ORD-1006,CUST-644,Camera,Electronics,12000,0.0,12000.0,2,24000.0,0,Mansoura,Cash,2023-09-22
ORD-1007,CUST-408,Laptop,Electronics,15000,0.1,13500.0,1,13500.0,0,Cairo,Cash,2023-06-15
ORD-1008,CUST-122,Phone,Electronics,8000,0.15,6800.0,4,27200.0,0,Aswan,Cash,2023-02-15
ORD-1009,CUST-215,Camera,Electronics,12000,0.15,10200.0,3,30600.0,0,Giza,Cash,2023-04-25
ORD-1010,CUST-206,Laptop,Electronics,15000,0.0,15000.0,2,30000.0,0,Alexandria,Vodafone Cash,2023-02-28
ORD-1011,CUST-373,T-shirt,Fashion,300,0.1,270.0,4,1080.0,0,Mansoura,Credit Card,2023-03-02
ORD-1012,CUST-56,T-shirt,Fashion,300,0.0,300.0,3,900.0,0,Cairo,Vodafone Cash,2023-08-17
ORD-1013,CUST-536,Backpack,Accessories,400,0.1,360.0,5,1800.0,0,Alexandria,Vodafone Cash,2023-07-25
ORD-1014,CUST-206,Backpack,Accessories,400,0.0,400.0,5,2000.0,0,Mansoura,Credit Card,2023-07-03
ORD-1015,CUST-338,T-shirt,Fashion,300,0.0,300.0,2,600.0,0,Aswan,Vodafone Cash,2023-01-28
ORD-1016,CUST-547,Phone,Electronics,8000,0.1,7200.0,3,21600.0,0,Mansoura,Credit Card,2023-04-27
ORD-1017,CUST-277,Camera,Electronics,12000,0.0,12000.0,1,12000.0,0,Giza,Vodafone Cash,2023-01-27
ORD-1018,CUST-161,Shoes,Fashion,700,0.0,700.0,4,0.0,1,Aswan,Cash,2023-11-11
ORD-1019,CUST-338,Headphones,Electronics,500,0.0,500.0,4,2000.0,0,Alexandria,Cash,2023-06-26
ORD-1020,CUST-263,Shoes,Fashion,700,0.0,700.0,1,700.0,0,Cairo,Vodafone Cash,2023-10-26
ORD-1021,CUST-91,Phone,Electronics,8000,0.1,7200.0,3,21600.0,0,Cairo,Cash,2023-04-04
ORD-1022,CUST-346,T-shirt,Fashion,300,0.0,300.0,5,1500.0,0,Giza,Vodafone Cash,2023-07-15
ORD-1023,CUST-511,Watch,Fashion,1200,0.0,1200.0,2,2400.0,0,Cairo,Vodafone Cash,2023-08-30
ORD-1024,CUST-342,Watch,Fashion,1200,0.0,1200.0,1,1200.0,0,Giza,Credit Card,2023-01-06
ORD-1025,CUST-230,T-shirt,Fashion,300,0.0,300.0,3,900.0,0,Cairo,Credit Card,2023-08-13
ORD-1026,CUST-595,T-shirt,Fashion,300,0.1,270.0,3,810.0,0,Aswan,Credit Card,2023-11-06
ORD-1027,CUST-724,Laptop,Electronics,15000,0.0,15000.0,2,30000.0,0,Giza,Vodafone Cash,2023-06-01
ORD-1028,CUST-176,Backpack,Accessories,400,0.0,400.0,2,800.0,0,Alexandria,Credit Card,2023-01-12
ORD-1029,CUST-319,Watch,Fashion,1200,0.0,1200.0,2,2400.0,0,Tanta,Vodafone Cash,2023-10-07
ORD-1030,CUST-640,Camera,Electronics,12000,0.0,12000.0,2,24000.0,0,Aswan,Vodafone Cash,2023-01-07
ORD-1031,CUST-715,Laptop,Electronics,15000,0.0,15000.0,1,15000.0,0,Tanta,Credit Card,2023-10-28
ORD-1032,CUST-441,Shoes,Fashion,700,0.2,560.0,2,1120.0,0,Cairo,Vodafone Cash,2023-10-09
ORD-1033,CUST-63,Headphones,Electronics,500,0.1,450.0,5,2250.0,0,Cairo,Cash,2023-07-04
ORD-1034,CUST-252,Watch,Fashion,1200,0.0,1200.0,3,3600.0,0,Aswan,Vodafone Cash,2023-02-27
